dataset,ni,rt_raw0.0.mean_fp,rt_raw0.0.median_fp,rt_raw2.0.mean_fp,rt_raw2.0.median_fp,rt_raw2.5.mean_fp,rt_raw2.5.median_fp,rt_raw3.0.mean_fp,rt_raw3.0.median_fp,rt_log0.0.mean_fp,rt_log0.0.median_fp,rt_log2.0.mean_fp,rt_log2.0.median_fp,rt_log2.5.mean_fp,rt_log2.5.median_fp,rt_log3.0.mean_fp,rt_log3.0.median_fp,rt_inv0.0.mean_fp,rt_inv0.0.median_fp,rt_inv2.0.mean_fp,rt_inv2.0.median_fp,rt_inv2.5.mean_fp,rt_inv2.5.median_fp,rt_inv3.0.mean_fp,rt_inv3.0.median_fp
flexicon,100,0.06,0.07,0.06,0.09,0.07,0.05,0.04,0.06,0.06,0.05,0.06,0.09,0.08,0.04,0.08,0.05,0.09,0.06,0.07,0.08,0.08,0.05,0.08,0.05
s_300_20_300,100,0.05,0.03,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03
s_300_50_300,100,0.01,0.05,0.08,0.05,0.07,0.06,0.04,0.07,0.05,0.05,0.08,0.05,0.1,0.06,0.08,0.07,0.07,0.05,0.1,0.04,0.11,0.06,0.1,0.05
s_350_20_250,100,0.1,0.06,0.04,0.09,0.08,0.08,0.11,0.08,0.07,0.06,0.04,0.09,0.06,0.08,0.09,0.07,0.08,0.07,0.06,0.09,0.05,0.07,0.08,0.07
s_350_50_250,100,0.03,0.09,0.06,0.07,0.05,0.1,0.06,0.08,0.03,0.08,0.06,0.07,0.05,0.09,0.04,0.09,0.04,0.06,0.04,0.07,0.05,0.08,0.04,0.09
s_400_20_200,100,0.06,0.07,0.08,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.09,0.07,0.08,0.07,0.06,0.06,0.08,0.07,0.08,0.07,0.08,0.06,0.07,0.06
s_400_50_200,100,0.06,0.04,0.03,0.03,0.04,0.03,0.03,0.05,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.05,0.02,0.05,0.02,0.04,0.04,0.04,0.03,0.04
s_450_20_150,100,0.05,0.05,0.05,0.04,0.07,0.03,0.08,0.04,0.05,0.05,0.04,0.04,0.07,0.03,0.08,0.04,0.06,0.04,0.03,0.04,0.07,0.04,0.07,0.04
s_450_50_150,100,0.05,0.03,0.01,0.03,0.04,0.02,0.05,0.03,0.04,0.03,0.03,0.04,0.04,0.02,0.05,0.03,0.04,0.03,0.02,0.04,0.03,0.02,0.04,0.04
s_500_20_100,100,0.07,0.03,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.04
s_500_50_50,100,0.06,0.08,0.02,0.06,0.03,0.07,0.04,0.08,0.06,0.08,0.03,0.05,0.04,0.07,0.04,0.08,0.06,0.09,0.02,0.05,0.05,0.07,0.04,0.08
s_550_20_100,100,0.08,0.09,0.08,0.07,0.09,0.06,0.06,0.05,0.07,0.09,0.09,0.07,0.09,0.06,0.08,0.05,0.08,0.09,0.09,0.07,0.09,0.06,0.08,0.05
s_550_50_100,100,0.02,0.03,0.04,0.03,0.01,0.02,0.03,0.02,0.01,0.02,0.04,0.03,0.01,0.02,0.03,0.02,0.02,0.02,0.04,0.03,0.01,0.02,0.02,0.02
stroop,100,0.03,0.03,0,0.04,0.01,0.03,0.02,0.03,0.01,0.03,0,0.04,0.01,0.03,0,0.03,0.01,0.04,0,0.04,0.02,0.03,0.01,0.03
