dataset,ni,raw_0.0_mean_fp,raw_0.0_median_fp,raw_2.0_mean_fp,raw_2.0_median_fp,raw_2.5_mean_fp,raw_2.5_median_fp,raw_3.0_mean_fp,raw_3.0_median_fp,log_0.0_mean_fp,log_0.0_median_fp,log_2.0_mean_fp,log_2.0_median_fp,log_2.5_mean_fp,log_2.5_median_fp,log_3.0_mean_fp,log_3.0_median_fp,inv_0.0_mean_fp,inv_0.0_median_fp,inv_2.0_mean_fp,inv_2.0_median_fp,inv_2.5_mean_fp,inv_2.5_median_fp,inv_3.0_mean_fp,inv_3.0_median_fp
Flexicon,1000000,0.049472,0.048707,0.04883,0.048382,0.048663,0.048492,0.048934,0.048497,0.0497,0.049444,0.049299,0.049405,0.049316,0.049245,0.049322,0.049358,0.049684,0.04986,0.049464,0.049582,0.049561,0.049789,0.049527,0.049716
Stroop,1000000,0.049121,0.048093,0.04836,0.048068,0.048243,0.048016,0.048376,0.048002,0.049497,0.049452,0.049637,0.049486,0.049615,0.049358,0.049574,0.049426,0.049498,0.049524,0.04968,0.049515000000000003,0.049521,0.049422,0.049588,0.049525
Synth_00_20_200,1000000,0.049732,0.049851,0.049725,0.049748,0.049839,0.049918,0.049967,0.049909,0.049753,0.049916,0.049565,0.049677,0.04976,0.049913,0.049856,0.04997,0.049623,0.050002,0.04946,0.04972,0.049731,0.049976,0.049787,0.049939
Synth_300_20_300,1000000,0.05033,0.049883,0.049905,0.049838,0.050034,0.049852,0.049859,0.049849,0.050251,0.04997,0.049796,0.049932,0.049978,0.049997,0.049917,0.049946,0.050151,0.050039,0.049901,0.049917,0.049877,0.049917,0.049868,0.050036
Synth_300_50_300,1000000,0.050218,0.049857,0.049888,0.049816,0.049933,0.049875,0.050148,0.04992,0.050292,0.050015,0.050181,0.049984,0.050108,0.049893,0.050185,0.050035,0.050084,0.050138,0.050191,0.050191,0.050184,0.049886,0.050251,0.050052
Synth_350_20_250,1000000,0.049641,0.049591,0.049982,0.049859,0.049602,0.049496,0.050095,0.049492,0.050072,0.049608,0.050061,0.049944,0.049752,0.049524,0.050043,0.049481,0.050149,0.049522,0.050135,0.050014,0.049776,0.049524,0.049878,0.049529
Synth_350_50_250,1000000,0.050029,0.049799,0.049788,0.04994,0.050091,0.049732,0.049943,0.049759,0.050163,0.049935,0.049914,0.050015,0.049934,0.049823,0.050002,0.049787,0.049844,0.049903,0.049815,0.049923,0.049859,0.049937,0.050033,0.049868
Synth_400_50_200,1000000,0.049484,0.049736,0.050007,0.049771,0.04994,0.049735,0.04962,0.04985,0.0495,0.049841,0.050009,0.049847,0.049942,0.049809,0.049624,0.049902,0.049454,0.049846,0.049952,0.049898,0.04984,0.049845,0.049551,0.049878
Synth_450_20_150,1000000,0.04982,0.050087,0.050205,0.050023,0.050238,0.050216,0.049935,0.050032,0.050053,0.050123,0.050082,0.050107,0.050282,0.050304,0.050056,0.050104,0.050076,0.050172,0.050194,0.050187,0.050242,0.050321,0.050232,0.050105
Synth_450_50_150,1000000,0.049772,0.049866,0.050169,0.050102,0.04977,0.050127,0.049808,0.050062,0.050019,0.049838,0.05029,0.050155,0.050028,0.050113,0.049915,0.050167,0.049957,0.049851,0.050329,0.050159,0.049971,0.050093,0.04984,0.050227
Synth_500_20_100,1000000,0.049621,0.049901,0.050188,0.049718,0.049912,0.049757,0.050316,0.0498,0.049725,0.049892,0.049993,0.04973,0.049829,0.049776,0.050328,0.04985,0.049926,0.049967,0.049838,0.049768,0.04997,0.049831,0.050293,0.049859
Synth_500_50_100,1000000,0.050086,0.050105,0.049833,0.050317,0.05014,0.050295,0.050102,0.050354,0.049978,0.050189,0.049915,0.050348,0.050119,0.050239,0.049985,0.050421,0.049957,0.05023,0.049848,0.050364,0.050177,0.050204,0.050171,0.050454
Synth_550_20_50,997300,0.0496269928807781,0.049727263611751726,0.049728266319061465,0.049664093051238346,0.04975935024566329,0.049806477489220895,0.04964403890504362,0.04964303619773388,0.049655068685450714,0.049764363782211975,0.04981550185500852,0.04970219592900832,0.04979745312343327,0.04978943146495538,0.04971322570941542,0.049666098465857816,0.04967612553895518,0.0497513285871854,0.049817507269628,0.04973528527022962,0.0497623583675925,0.049822520806176676,0.049709214880176475,0.049671112002406495
Synth_550_50_50,1000000,0.049926,0.050118,0.050447,0.050097,0.049968,0.050271,0.050321,0.050283,0.050064,0.050116,0.050321,0.050075,0.050095,0.050219,0.050451,0.050267,0.050172,0.050076,0.050358,0.050011,0.050175,0.050183,0.05037,0.050241
